VehicleID,Amount (Million Naira)
VHL18518,1.00
VHL17149,1.00
VHL10927,1.00
VHL12909,1.00
VHL12348,1.00
VHL10798,1.00
VHL11022,1.00
VHL12206,1.00
VHL11697,1.00
VHL12313,1.00
VHL13411,1.00
VHL14334,1.00
VHL14302,1.00
VHL13979,1.00
VHL12272,1.00
VHL15071,1.00
VHL19166,1.00
VHL10471,1.00
VHL18431,1.00
VHL12325,1.00
VHL15657,1.00
VHL13667,1.00
VHL18913,1.00
VHL13273,1.00
VHL16576,1.00
VHL15506,1.00
VHL10460,1.00
VHL16050,1.00
VHL17918,1.00
VHL12992,1.00
VHL10261,1.00
VHL18348,1.00
VHL11577,1.00
VHL16957,1.00
VHL16165,1.00
VHL11441,1.00
VHL19990,1.00
VHL14072,1.00
VHL13637,1.00
VHL10757,1.00
VHL12657,1.00
VHL19939,1.00
VHL12094,1.00
VHL17177,1.00
VHL16720,1.00
VHL11478,1.00
VHL14386,1.00
VHL11341,1.00
VHL18683,1.00
VHL13430,1.00
VHL18932,1.00
VHL17505,1.00
VHL16272,1.00
VHL14777,1.00
VHL13186,1.00
VHL19383,1.00
VHL14605,1.00
VHL11440,1.00
VHL14303,1.00
VHL19478,1.00
VHL17837,1.00
VHL12824,1.00
VHL17476,1.00
VHL18988,1.00
VHL19482,1.00
VHL13263,1.00
VHL17078,1.00
VHL19170,1.00
VHL18070,1.00
VHL18061,1.00
VHL10726,1.00
VHL19212,1.00
VHL13283,1.00
VHL14023,1.00
VHL16973,1.00
VHL19653,1.00
VHL18605,1.00
VHL13287,1.00
VHL15719,1.00
VHL19636,1.00
VHL11009,1.00
VHL18087,1.00
VHL14422,1.00
VHL15789,1.00
VHL12369,1.00
VHL15812,1.00
VHL18767,1.00
VHL19271,1.00
VHL17403,1.00
VHL12967,1.00
VHL19998,1.00
VHL12336,1.00
VHL10328,1.00
VHL18908,1.00
VHL11127,1.00
VHL12655,1.00
VHL19086,1.00
VHL10384,1.00
VHL15712,1.00
VHL11054,1.00
VHL16505,1.00
VHL10534,1.00
VHL14120,1.00
VHL10206,1.00
VHL13595,1.00
VHL15887,1.00
VHL12672,1.00
VHL19770,1.00
VHL13026,1.00
VHL12635,1.00
VHL14014,1.00
VHL19238,1.00
VHL18156,1.00
VHL13087,1.00
VHL13743,1.00
VHL19323,1.00
VHL16129,1.00
VHL17626,1.00
VHL14525,1.00
VHL15597,1.00
VHL19429,1.00
VHL14074,1.00
VHL17422,1.00
VHL11861,1.00
VHL19828,1.00
VHL14000,1.00
VHL12312,1.00
VHL16257,1.00
VHL14859,1.00
VHL16048,1.00
VHL14039,1.00
VHL10296,1.00
VHL14949,1.00
VHL17034,1.00
VHL17149,1.00
VHL19677,1.00
VHL14433,1.00
VHL16582,1.00
VHL10059,1.00
VHL17140,1.00
VHL10364,1.00
VHL16932,1.00
VHL18587,1.00
VHL13635,1.00
VHL18371,1.00
VHL19622,1.00
VHL18669,1.00
VHL17359,1.00
VHL19788,1.00
VHL19078,1.00
VHL12673,1.00
VHL17895,1.00
VHL18950,1.00
VHL13562,1.00
VHL11306,1.00
VHL15496,1.00
VHL11927,1.00
VHL10392,1.00
VHL14124,1.00
VHL12586,1.00
VHL12895,1.00
VHL18481,1.00
VHL11310,1.00
VHL15810,1.00
VHL16037,1.00
VHL19627,1.00
VHL11152,1.00
VHL17698,1.00
VHL19815,1.00
VHL18192,1.00
VHL19720,1.00
VHL11686,1.00
VHL18649,1.00
VHL12765,1.00
VHL10026,1.00
VHL11001,1.00
VHL13433,1.00
VHL17827,1.00
VHL12344,1.00
VHL17308,1.00
VHL18722,1.00
VHL17199,1.00
VHL15338,1.00
VHL16946,1.00
VHL11039,1.00
VHL18017,1.00
VHL15945,1.00
VHL14724,1.00
VHL15314,1.00
VHL14276,1.00
VHL17883,1.00
VHL14385,1.00
VHL18665,1.00
VHL15936,1.00
VHL19518,1.00
VHL13530,1.00
VHL17861,1.00
VHL10966,1.00
VHL11652,1.00
VHL16641,1.00
VHL12017,1.00
VHL14856,1.00
VHL16801,1.00
VHL16814,1.00
VHL13748,1.00
VHL13104,1.00
VHL10022,1.00
VHL14787,1.00
VHL19015,1.00
VHL11089,1.00
VHL13873,1.00
VHL15486,1.00
VHL13253,1.00
VHL15232,1.00
VHL18914,1.00
VHL14922,1.00
VHL14541,1.00
VHL15820,1.00
VHL10710,1.00
VHL11752,1.00
VHL13868,1.00
VHL17442,1.00
VHL14571,1.00
VHL17155,1.00
VHL11093,1.00
VHL18280,1.00
VHL18425,1.00
VHL10175,1.00
VHL15307,1.00
VHL18062,1.00
VHL18972,1.00
VHL11185,1.00
VHL10343,1.00
VHL10450,1.00
VHL19621,1.00
VHL14502,1.00
VHL12768,1.00
VHL19922,1.00
VHL10824,1.00
VHL16646,1.00
VHL15462,1.00
VHL15801,1.00
VHL10322,1.00
VHL15613,1.00
VHL17756,1.00
VHL16186,1.00
VHL19061,1.00
VHL13446,1.00
VHL10599,1.00
VHL18255,1.00
VHL17948,1.00
VHL17616,1.00
VHL17664,1.00
VHL18299,1.00
VHL18959,1.00
VHL10473,1.00
VHL17271,1.00
VHL19798,1.00
VHL17935,1.00
VHL10245,1.00
VHL15041,1.00
VHL15001,1.00
VHL16287,1.00
VHL13974,1.00
VHL15764,1.00
VHL18888,1.00
VHL14882,1.00
VHL19424,1.00
VHL13785,1.00
VHL10783,1.00
VHL19808,1.00
VHL18890,1.00
VHL13440,1.00
VHL13285,1.00
VHL18805,1.00
VHL18550,1.00
VHL10061,1.00
VHL18522,1.00
VHL16813,1.00
VHL11036,1.00
VHL12107,1.00
VHL17826,1.00
VHL14449,1.00
VHL14938,1.00
VHL14098,1.00
VHL19241,1.00
VHL17856,1.00
VHL18900,1.00
VHL11133,1.00
VHL11687,1.00
VHL12719,1.00
VHL15531,1.00
VHL17329,1.00
VHL16806,1.00
VHL11582,1.00
VHL16362,1.00
VHL11119,1.00
VHL13806,1.00
VHL11733,1.00
VHL18959,1.00
VHL17287,1.00
VHL11709,1.00
VHL19793,1.00
VHL19880,1.00
VHL19964,1.00
VHL12784,1.00
VHL17371,1.00
VHL12439,1.00
VHL16652,1.00
VHL17836,1.00
VHL16597,1.00
VHL18707,1.00
VHL16683,1.00
VHL15365,1.00
VHL13507,1.00
VHL14459,1.00
VHL19300,1.00
VHL18418,1.00
VHL15350,1.00
VHL15927,1.00
VHL12985,1.00
VHL10426,1.00
VHL10506,1.00
VHL11042,1.00
VHL18043,1.00
VHL16258,1.00
VHL19326,1.00
VHL15424,1.00
VHL19014,1.00
VHL11310,1.00
VHL12927,1.00
VHL10082,1.00
VHL10068,1.00
VHL13660,1.00
VHL18810,1.00
VHL17666,1.00
VHL18022,1.00
VHL11237,1.00
VHL17240,1.00
VHL13512,1.00
VHL10596,1.00
VHL10073,1.00
VHL13719,1.00
VHL10077,1.00
VHL13151,1.00
VHL12499,1.00
VHL18832,1.00
VHL16790,1.00
VHL13880,1.00
VHL19448,1.00
VHL15860,1.00
VHL14538,1.00
VHL16505,1.00
VHL11544,1.00
VHL19830,1.00
VHL10194,1.00
VHL15744,1.00
VHL10957,1.00
VHL12568,1.00
VHL19448,1.00
VHL14417,1.00
VHL10368,1.00
VHL10806,1.00
VHL17414,1.00
VHL14892,1.00
VHL17933,1.00
VHL15852,1.00
VHL10505,1.00
VHL18345,1.00
VHL13294,1.00
VHL18253,1.00
VHL17152,1.00
VHL12883,1.00
VHL16101,1.00
VHL15563,1.00
VHL10313,1.00
VHL18291,1.00
VHL13553,1.00
VHL11440,1.00
VHL15887,1.00
VHL17489,1.00
VHL16271,1.00
VHL15007,1.00
VHL15329,1.00
VHL13826,1.00
VHL11568,1.00
VHL13578,1.00
VHL16302,1.00
VHL12677,1.00
VHL18866,1.00
VHL11976,1.00
VHL17817,1.00
VHL16893,1.00
VHL11075,1.00
VHL14865,1.00
VHL13535,1.00
VHL16299,1.00
VHL19327,1.00
VHL10055,1.00
VHL14258,1.00
VHL11527,1.00
VHL17682,1.00
VHL10073,1.00
VHL14599,1.00
VHL15495,1.00
VHL13387,1.00
VHL19505,1.00
VHL16307,1.00
VHL11034,1.00
VHL13625,1.00
VHL19623,1.00
VHL10838,1.00
VHL11711,1.00
VHL14148,1.00
VHL15745,1.00
VHL15705,1.00
VHL14767,1.00
VHL10108,1.00
VHL17818,1.00
VHL18324,1.00
VHL19741,1.00
VHL11815,1.00
VHL18939,1.00
VHL18042,1.00
VHL13176,1.00
VHL16859,1.00
VHL14405,1.00
VHL14751,1.00
VHL18416,1.00
VHL13952,1.00
VHL14726,1.00
VHL11889,1.00
VHL12851,1.00
VHL12862,1.00
VHL14262,1.00
VHL13520,1.00
VHL14967,1.00
VHL14728,1.00
VHL15340,1.00
VHL14760,1.00
VHL18498,1.00
VHL18440,1.00
VHL18477,1.00
VHL16456,1.00
VHL19596,1.00
VHL19616,1.00
VHL12885,1.00
VHL13080,1.00
VHL10988,1.00
VHL16251,1.00
VHL16941,1.00
VHL19708,1.00
VHL13116,1.00
VHL17823,1.00
VHL14587,1.00
VHL16807,1.00
VHL15706,1.00
VHL19568,1.00
VHL12877,1.00
VHL16412,1.00
VHL18036,1.00
VHL16860,1.00
VHL14755,1.00
VHL19234,1.00
VHL13272,1.00
VHL16892,1.00
VHL17413,1.00
VHL18817,1.00
VHL11681,1.00
VHL10192,1.00
VHL16374,1.00
VHL17630,1.00
VHL15610,1.00
VHL11364,1.00
VHL13136,1.00
VHL10038,1.00
VHL12580,1.00
VHL14253,1.00
VHL17421,1.00
VHL15458,1.00
VHL12574,1.00
VHL14109,1.00
VHL15943,1.00
VHL17404,1.00
VHL14940,1.00
VHL16625,1.00
VHL12066,1.00
VHL12899,1.00
VHL11652,1.00
VHL17554,1.00
VHL11567,1.00
VHL10163,1.00
VHL10355,1.00
VHL12041,1.00
VHL13416,1.00
VHL15974,1.00
VHL12082,1.00
VHL12319,1.00
VHL12556,1.00
VHL18675,1.00
VHL13381,1.00
VHL14325,1.00
VHL15875,1.00
VHL10638,1.00
VHL10544,1.00
VHL11654,1.00
VHL14423,1.00
VHL14569,1.00
VHL15007,1.00
VHL18221,1.00
VHL10785,1.00
VHL16546,1.00
VHL19173,1.00
VHL11731,1.00
VHL18180,1.00
VHL19452,1.00
VHL16163,1.00
VHL14877,1.00
VHL10102,1.00
VHL16046,1.00
VHL13684,1.00
VHL18749,1.00
VHL15304,1.00
VHL10117,1.00
VHL19957,1.00
VHL19132,1.00
VHL15383,1.00
VHL10136,1.00
VHL17919,1.00
VHL11444,1.00
VHL18795,1.00
VHL12062,1.00
VHL15890,1.00
VHL17372,1.00
VHL12038,1.00
VHL19368,1.00
VHL10476,1.00
VHL14079,1.00
VHL10401,1.00
VHL12810,1.00
VHL19466,1.00
VHL15757,1.00
VHL15894,1.00
VHL18056,1.00
VHL16634,1.00
VHL16608,1.00
VHL19831,1.00
VHL13863,1.00
VHL11159,1.00
VHL15412,1.00
VHL10730,1.00
VHL17248,1.00
VHL16421,1.00
VHL11328,1.00
VHL18439,1.00
VHL12340,1.00
VHL10461,1.00
VHL15024,1.00
VHL11850,1.00
VHL16423,1.00
VHL16427,1.00
VHL13444,1.00
VHL16609,1.00
VHL11522,1.00
VHL11433,1.00
VHL15853,1.00
VHL14168,1.00
VHL19004,1.00
VHL10827,1.00
VHL19998,1.00
VHL14997,1.00
VHL15827,1.00
VHL18844,1.00
VHL10076,1.00
VHL16342,1.00
VHL19420,1.00
VHL12762,1.00
VHL16916,1.00
VHL10660,1.00
VHL18142,1.00
VHL13721,1.00
VHL18101,1.00
VHL11732,1.00
VHL14351,1.00
VHL16617,1.00
VHL13840,1.00
VHL10596,1.00
VHL19148,1.00
VHL16845,1.00
VHL17262,1.00
VHL17801,1.00
VHL18039,1.00
VHL15369,1.00
VHL14483,1.00
VHL19700,1.00
VHL15877,1.00
VHL15552,1.00
VHL18756,1.00
VHL10301,1.00
VHL17678,1.00
VHL17604,1.00
VHL17969,1.00
VHL17089,1.00
VHL13239,1.00
VHL12466,1.00
VHL16020,1.00
VHL15014,1.00
VHL13302,1.00
VHL17986,1.00
VHL14724,1.00
VHL15147,1.00
VHL15325,1.00
VHL16131,1.00
VHL14868,1.00
VHL15382,1.00
VHL12164,1.00
VHL11723,1.00
VHL14888,1.00
VHL17997,1.00
VHL11576,1.00
VHL16048,1.00
VHL17795,1.00
VHL15642,1.00
VHL13953,1.00
VHL10189,1.00
VHL13338,1.00
VHL19247,1.00
VHL16429,1.00
VHL10272,1.00
VHL12716,1.00
VHL12652,1.00
VHL13545,1.00
VHL11323,1.00
VHL15121,1.00
VHL17568,1.00
VHL11886,1.00
VHL17402,1.00
VHL10243,1.00
VHL13407,1.00
VHL12149,1.00
VHL11037,1.00
VHL17924,1.00
VHL12180,1.00
VHL14683,1.00
VHL18920,1.00
VHL12024,1.00
VHL13968,1.00
VHL11079,1.00
VHL14355,1.00
VHL11824,1.00
VHL19942,1.00
VHL12917,1.00
VHL15326,1.00
VHL13585,1.00
VHL12069,1.00
VHL17056,1.00
VHL10515,1.00
VHL16435,1.00
VHL17564,1.00
VHL18798,1.00
VHL10222,1.00
VHL17645,1.00
VHL10810,1.00
VHL14216,1.00
VHL13799,1.00
VHL19965,1.00
VHL18568,1.00
VHL17957,1.00
VHL11023,1.00
VHL17797,1.00
VHL16174,1.00
VHL15112,1.00
VHL10167,1.00
VHL18749,1.00
VHL16276,1.00
VHL15593,1.00
VHL18474,1.00
VHL13000,1.00
VHL10796,1.00
VHL16443,1.00
VHL13954,1.00
VHL12761,1.00
VHL17916,1.00
VHL13145,1.00
VHL19331,1.00
VHL15623,1.00
VHL13922,1.00
VHL11222,1.00
VHL15425,1.00
VHL19072,1.00
VHL18649,1.00
VHL14730,1.00
VHL12512,1.00
VHL18486,1.00
VHL13182,1.00
VHL19735,1.00
VHL13370,1.00
VHL15038,1.00
VHL13034,1.00
VHL16581,1.00
VHL12113,1.00
VHL16914,1.00
VHL18231,1.00
VHL14192,1.00
VHL10404,1.00
VHL10084,1.00
VHL13855,1.00
VHL14027,1.00
VHL16209,1.00
VHL11144,1.00
VHL18646,1.00
VHL16431,1.00
VHL16873,1.00
VHL19594,1.00
VHL18630,1.00
VHL17288,1.00
VHL13113,1.00
VHL18865,1.00
VHL18260,1.00
VHL13198,1.00
VHL11475,1.00
VHL18584,1.00
VHL14768,1.00
VHL16073,1.00
VHL15742,1.00
VHL18879,1.00
VHL12038,1.00
VHL19728,1.00
VHL17986,1.00
VHL18819,1.00
VHL12225,1.00
VHL19157,1.00
VHL19615,1.00
VHL17175,1.00
VHL13050,1.00
VHL13123,1.00
VHL16065,1.00
VHL12484,1.00
VHL11338,1.00
VHL17289,1.00
VHL15447,1.00
VHL18803,1.00
VHL18294,1.00
VHL15133,1.00
VHL10657,1.00
VHL10619,1.00
VHL17912,1.00
VHL18164,1.00
VHL14504,1.00
VHL18885,1.00
VHL10118,1.00
VHL17852,1.00
VHL18834,1.00
VHL11508,1.00
VHL17633,1.00
VHL15893,1.00
VHL14089,1.00
VHL18800,1.00
VHL12314,1.00
VHL18047,1.00
VHL11118,1.00
VHL17922,1.00
VHL17121,1.00
VHL13960,1.00
VHL15350,1.00
VHL17939,1.00
VHL11888,1.00
VHL17044,1.00
VHL10290,1.00
VHL19497,1.00
VHL17807,1.00
VHL11467,1.00
VHL14703,1.00
VHL17518,1.00
VHL19578,1.00
VHL10425,1.00
VHL11304,1.00
VHL10086,1.00
VHL19512,1.00
VHL13350,1.00
VHL12694,1.00
VHL12838,1.00
VHL16255,1.00
VHL15196,1.00
VHL16844,1.00
VHL10977,1.00
VHL18145,1.00
VHL12297,1.00
VHL15274,1.00
VHL15478,1.00
VHL16940,1.00
VHL14407,1.00
VHL19544,1.00
VHL10519,1.00
VHL16928,1.00
VHL11692,1.00
VHL15180,1.00
VHL19040,1.00
VHL11628,1.00
VHL19845,1.00
VHL16574,1.00
VHL14807,1.00
VHL11188,1.00
VHL18077,1.00
VHL14836,1.00
VHL13406,1.00
VHL18365,1.00
VHL18328,1.00
VHL14695,1.00
VHL12724,1.00
VHL10202,1.00
VHL12815,1.00
VHL12630,1.00
VHL14283,1.00
VHL18698,1.00
VHL10141,1.00
VHL16204,1.00
VHL11310,1.00
VHL18878,1.00
VHL19310,1.00
VHL18219,1.00
VHL13108,1.00
VHL14070,1.00
VHL16891,1.00
VHL10398,1.00
VHL12755,1.00
VHL12995,1.00
VHL12158,1.00
VHL17814,1.00
VHL15098,1.00
VHL13066,1.00
VHL13362,1.00
VHL13443,1.00
VHL18173,1.00
VHL16277,1.00
VHL17380,1.00
VHL18129,1.00
VHL11891,1.00
VHL11042,1.00
VHL16137,1.00
VHL13400,1.00
VHL19399,1.00
VHL16723,1.00
VHL12416,1.00
VHL10350,1.00
VHL13811,1.00
VHL13916,1.00
VHL11857,1.00
VHL12040,1.00
VHL10872,1.00
VHL14351,1.00
VHL18230,1.00
VHL14851,1.00
VHL19426,1.00
VHL12795,1.00
VHL16882,1.00
VHL15924,1.00
VHL10807,1.00
VHL10611,1.00
VHL15296,1.00
VHL11333,1.00
VHL18616,1.00
VHL15633,1.00
VHL15157,1.00
VHL16982,1.00
VHL13879,1.00
VHL17585,1.00
VHL13116,1.00
VHL16982,1.00
VHL18017,1.00
VHL19155,1.00
VHL19997,1.00
VHL19660,1.00
VHL19990,1.00
VHL13582,1.00
VHL15998,1.00
VHL13285,1.00
VHL16586,1.00
VHL15120,1.00
VHL14954,1.00
VHL18066,1.00
VHL13559,1.00
VHL14707,1.00
VHL12562,1.00
VHL15527,1.00
VHL12878,1.00
VHL12507,1.00
VHL14699,1.00
VHL14730,1.00
VHL16614,1.00
VHL13024,1.00
VHL19915,1.00
VHL13101,1.00
VHL13052,1.00
VHL19820,1.00
VHL11562,1.00
VHL16424,1.00
VHL10876,1.00
VHL12199,1.00
VHL17320,1.00
VHL13599,1.00
VHL15761,1.00
VHL12114,1.00
VHL14797,1.00
VHL10360,1.00
VHL11344,1.00
VHL13709,1.00
VHL19962,1.00
VHL11021,1.00
VHL11988,1.00
VHL18459,1.00
VHL12547,1.00
VHL17688,1.00
VHL10267,1.00
VHL17363,1.00
VHL19946,1.00
VHL17698,1.00
VHL10234,1.00
VHL13897,1.00
VHL13543,1.00
VHL11002,1.00
VHL19102,1.00
VHL17633,1.00
VHL18124,1.00
VHL16120,1.00
VHL19186,1.00
VHL18664,1.00
VHL17083,1.00
VHL13077,1.00
VHL17267,1.00
VHL18565,1.00
VHL13814,1.00
VHL18967,1.00
VHL13503,1.00
VHL13644,1.00
VHL17079,1.00
VHL15239,1.00
VHL17245,1.00
VHL10153,1.00
VHL19693,1.00
VHL10773,1.00
VHL11413,1.00
VHL10223,1.00
VHL18530,1.00
VHL12551,1.00
VHL17602,1.00
VHL13375,1.00
VHL13337,1.00
VHL18551,1.00
VHL17882,1.00
VHL17761,1.00
VHL12646,1.00
VHL15219,1.00
VHL14365,1.00
VHL16915,1.00
VHL10906,1.00
VHL13513,1.00
VHL14542,1.00
VHL14200,1.00
VHL18013,1.00
VHL14772,1.00
VHL13641,1.00
VHL15001,1.00
VHL10409,1.00
VHL12698,1.00
VHL14128,1.00
VHL10621,1.00
VHL13729,1.00
VHL16191,1.00
VHL11188,1.00
VHL14810,1.00
VHL16357,1.00
VHL18353,1.00
VHL15843,1.00
VHL10210,1.00
VHL17457,1.00
VHL11022,1.00
VHL16541,1.00
VHL17647,1.00
VHL11229,1.00
VHL17996,1.00
VHL17089,1.00
VHL19543,1.00
VHL19715,1.00
VHL17944,1.00
VHL16820,1.00
VHL14857,1.00
VHL17512,1.00
VHL16649,1.00
VHL14838,1.00
VHL14568,1.00
VHL17525,1.00
VHL16117,1.00
VHL13135,1.00
VHL19812,1.00
VHL17027,1.00
VHL14654,1.00
VHL12420,1.00
VHL10360,1.00
VHL13629,1.00
VHL16737,1.00
VHL15446,1.00
VHL10946,1.00
VHL13953,1.00
VHL17303,1.00
VHL15447,1.00
VHL12854,1.00
VHL12567,1.00
VHL19137,1.00
VHL19411,1.00
VHL10923,1.00
VHL17236,1.00
VHL19462,1.00
VHL13097,1.00
VHL19969,1.00
VHL11860,1.00
VHL18943,1.00
VHL11672,1.00
VHL10815,1.00
VHL16245,1.00
VHL14969,1.00
VHL19652,1.00
VHL11330,1.00
VHL19827,1.00
VHL10484,1.00
VHL11394,1.00
VHL18787,1.00
VHL11803,1.00
VHL12784,1.00
