student_id,score
1,1018
2,1218
3,611
4,723
5,541
6,1482
7,1346
8,1441
9,1159
10,1195
11,763
12,1383
13,775
14,867
15,924
16,842
17,1172
18,954
19,987
20,958
21,1269
22,879
23,965
24,1085
25,671
26,903
27,1107
28,1233
29,1032
30,865
31,1289
32,956
33,1006
34,1036
35,987
36,892
37,1095
38,767
39,900
40,918
41,813
42,1017
43,1029
44,1015
45,969
46,1110
47,1340
48,1201
49,373
50,1228
51,626
52,644
53,1026
54,730
55,1311
56,1139
57,838
58,671
59,1066
60,1245
61,1019
62,1375
63,1107
64,1160
65,939
66,1076
67,955
68,623
69,1495
70,971
71,1023
72,1266
73,1022
74,1043
75,1086
76,770
77,1305
78,1072
79,878
80,1186
81,1071
82,810
83,1030
84,1000
85,1067
86,1075
87,1143
88,760
89,1000
90,816
91,1099
92,734
93,562
94,913
95,1509
96,1230
97,1017
98,1497
99,961
100,963
101,1171
102,1061
103,986
104,906
105,987
106,1211
107,738
108,866
109,1268
110,1506
111,632
112,1081
113,1326
114,955
115,884
116,1248
117,889
118,855
119,886
120,722
121,521
122,1231
123,1338
124,1045
125,960
126,1100
127,964
128,650
129,758
130,1085
131,922
132,689
133,712
134,1190
135,695
136,1227
137,1097
138,800
139,936
140,1032
141,1072
142,1051
143,1285
144,1185
145,898
146,966
147,818
148,895
149,1015
150,531
151,1020
152,991
153,950
154,739
155,885
156,847
157,988
158,513
159,934
160,1095
161,823
162,811
163,1147
164,1529
165,1122
166,1132
167,1009
168,1154
169,1119
170,813
171,1075
172,1184
173,857
174,1075
175,1251
176,1195
177,996
178,1413
179,1206
180,950
181,606
182,935
183,1027
184,924
185,1005
186,1328
187,1164
188,1269
189,725
190,1002
191,1266
192,834
193,1387
194,745
195,869
196,1303
197,563
198,1160
199,745
200,765
201,1006
202,985
203,1109
204,966
205,936
206,761
207,1052
208,498
209,1124
210,1038
211,1271
212,1278
213,711
214,1115
215,837
216,896
217,1152
218,1089
219,1088
220,982
221,1035
222,773
223,869
224,1118
225,762
226,870
227,1147
228,989
229,832
230,1057
231,1258
232,801
233,693
234,1021
235,823
236,926
237,884
238,818
239,987
240,1034
241,776
242,1192
243,1258
244,952
245,1026
246,1290
247,728
248,773
249,910
250,977
251,1107
252,1033
253,611
254,1196
255,1227
256,791
257,1091
258,855
259,898
260,844
261,1295
262,807
263,971
264,1091
265,807
266,930
267,960
268,1322
269,726
270,984
271,1029
272,931
273,1260
274,987
275,900
276,1153
277,1242
278,819
279,1164
280,1132
281,982
282,832
283,1169
284,1123
285,804
286,894
287,1345
288,863
289,584
290,935
291,1027
292,1140
293,918
294,1392
295,901
296,1038
297,1219
298,1015
299,517
300,1142
301,1051
302,863
303,1230
304,1213
305,893
306,705
307,638
308,962
309,882
310,971
311,463
312,996
313,747
314,920
315,1441
316,993
317,1198
318,1074
319,1143
320,1029
321,971
322,1217
323,741
324,873
325,1100
326,1034
327,1409
328,1014
329,989
330,1071
331,701
332,1301
333,938
334,1130
335,837
336,728
337,985
338,955
339,1108
340,897
341,1497
342,1029
343,771
344,988
345,1278
346,1030
347,805
348,895
349,1153
350,1295
351,848
352,1285
353,849
354,1407
355,950
356,749
357,943
358,990
359,1148
360,1211
361,1113
362,802
363,1014
364,925
365,1021
366,919
367,844
368,1516
369,927
370,633
371,910
372,1225
373,1093
374,825
375,1203
376,1445
377,712
378,998
379,1144
380,1244
381,1060
382,1189
383,777
384,1299
385,827
386,603
387,1023
388,1002
389,803
390,892
391,1072
392,905
393,866
394,1154
395,1113
396,801
397,991
398,862
399,1042
400,1142
401,1194
402,917
403,1055
404,843
405,1167
406,1059
407,946
408,1078
409,641
410,799
411,1000
412,1254
413,881
414,1065
415,1233
416,861
417,1079
418,885
419,1419
420,1029
421,1165
422,864
423,1053
424,899
425,1254
426,750
427,1387
428,1037
429,1119
430,869
431,1054
432,1038
433,998
434,1079
435,725
436,430
437,1148
438,696
439,1114
440,711
441,894
442,1461
443,1331
444,1004
445,894
446,1190
447,557
448,1297
449,881
450,827
451,1017
452,873
453,854
454,1178
455,990
456,844
457,1076
458,1118
459,1158
460,942
461,846
462,1226
463,973
464,1175
465,711
466,787
467,1040
468,1064
469,1122
470,1243
471,1283
472,929
473,1009
474,1169
475,1053
476,1022
477,1418
478,1258
479,650
480,887
481,935
482,1377
483,668
484,1118
485,1047
486,877
487,1163
488,931
489,680
490,761
491,1272
492,877
493,1269
494,1028
495,644
496,669
497,1083
498,1314
499,979
500,926
501,946
502,971
503,994
504,894
505,916
506,874
507,956
508,729
509,966
510,1125
511,1044
512,777
513,1212
514,1329
515,669
516,1242
517,1184
518,891
519,608
520,1156
521,1241
522,1209
523,1238
524,1239
525,1018
526,1234
527,1284
528,1064
529,790
530,1416
531,1008
532,751
533,1220
534,1295
535,1117
536,1109
537,1267
538,808
539,1029
540,883
541,1187
542,995
543,1512
544,1107
545,826
546,730
547,1385
548,1369
549,1085
550,998
551,1178
552,935
553,288
554,746
555,976
556,1093
557,1098
558,1179
559,796
560,873
561,926
562,1155
563,675
564,808
565,1179
566,944
567,1072
568,680
569,1117
570,1297
571,1182
572,1125
573,1076
574,1103
575,1122
576,1475
577,1337
578,1015
579,1055
580,1003
581,809
582,1089
583,951
584,1216
585,973
586,1054
587,1152
588,879
589,1156
590,782
591,1063
592,812
593,739
594,1030
595,813
596,667
597,734
598,783
599,1011
600,678
601,758
602,1025
603,1270
604,817
605,1038
606,1235
607,1069
608,1284
609,1155
610,803
611,1314
612,1107
613,1562
614,1091
615,1345
616,1179
617,1023
618,960
619,1095
620,1160
621,929
622,1012
623,1015
624,955
625,1366
626,1241
627,652
628,1150
629,1021
630,1219
631,923
632,911
633,956
634,745
635,965
636,1289
637,1202
638,1258
639,960
640,852
641,658
642,1039
643,1405
644,1291
645,1198
646,1290
647,1148
648,1050
649,1170
650,752
651,734
652,800
653,649
654,1076
655,1041
656,1043
657,927
658,984
659,794
660,1382
661,1239
662,1134
663,1305
664,934
665,1151
666,1054
667,1018
668,1075
669,1096
670,731
671,1327
672,786
673,1057
674,926
675,890
676,868
677,883
678,953
679,1172
680,1176
681,925
682,1580
683,972
684,1093
685,1034
686,1124
687,778
688,916
689,746
690,1013
691,976
692,1169
693,971
694,1192
695,990
696,1465
697,973
698,1142
699,786
700,1045
701,1469
702,584
703,1234
704,1065
705,945
706,1223
707,815
708,864
709,967
710,1245
711,800
712,1046
713,997
714,1008
715,1218
716,755
717,901
718,875
719,1183
720,1360
721,1059
722,1128
723,1078
724,969
725,925
726,791
727,1443
728,988
729,992
730,1055
731,935
732,904
733,1013
734,1101
735,944
736,1251
737,682
738,1075
739,1237
740,1047
741,774
742,1066
743,847
744,1106
745,1269
746,1354
747,865
748,933
749,908
750,1106
751,1208
752,686
753,1232
754,1379
755,602
756,1086
757,882
758,957
759,868
760,1190
761,1139
762,1021
763,1084
764,1419
765,838
766,899
767,568
768,861
769,975
770,665
771,1186
772,977
773,911
774,769
775,1057
776,875
777,1173
778,771
779,1022
780,879
781,1174
782,903
783,1171
784,952
785,875
786,1076
787,1099
788,1053
789,1053
790,1224
791,933
792,644
793,980
794,1151
795,741
796,968
797,1175
798,873
799,977
800,880
801,1037
802,1048
803,689
804,775
805,1270
806,1331
807,1016
808,1175
809,893
810,751
811,994
812,1404
813,1147
814,866
815,1269
816,1202
817,1063
818,836
819,810
820,1066
821,793
822,1121
823,741
824,809
825,1390
826,960
827,782
828,965
829,1132
830,1105
831,928
832,1082
833,1259
834,891
835,667
836,884
837,803
838,902
839,1157
840,366
841,1109
842,1354
843,1398
844,1164
845,733
846,1026
847,1017
848,878
849,624
850,1108
851,1172
852,871
853,1612
854,708
855,1196
856,761
857,920
858,1031
859,646
860,1024
861,617
862,1100
863,1069
864,1242
865,913
866,1065
867,760
868,995
869,947
870,963
871,910
872,714
873,1052
874,934
875,730
876,1054
877,1281
878,882
879,744
880,1133
881,965
882,1101
883,962
884,1279
885,1263
886,665
887,803
888,988
889,1297
890,1024
891,1279
892,1104
893,1089
894,653
895,1058
896,952
897,898
898,846
899,743
900,984
901,1253
902,980
903,866
904,929
905,796
906,924
907,1104
908,1082
909,1110
910,1005
911,1046
912,794
913,1303
914,800
915,974
916,1117
917,517
918,1215
919,949
920,849
921,1036
922,1074
923,1054
924,1292
925,935
926,916
927,629
928,1112
929,1294
930,1145
931,756
932,822
933,766
934,1207
935,1287
936,953
937,890
938,934
939,720
940,1095
941,972
942,1395
943,902
944,1045
945,1274
946,1046
947,840
948,1250
949,1203
950,1091
951,866
952,959
953,798
954,810
955,1103
956,1097
957,1248
958,1264
959,1009
960,677
961,1199
962,1134
963,923
964,1070
965,1161
966,1164
967,966
968,1179
969,572
970,761
971,1144
972,964
973,1218
974,1055
975,999
976,1045
977,854
978,1149
979,1250
980,1144
981,1219
982,750
983,1109
984,1058
985,1323
986,841
987,1195
988,949
989,1101
990,986
991,968
992,962
993,971
994,1048
995,744
996,871
997,752
998,1087
999,987
1000,1005
